Resource,Nesting,Resource Content Name,Flags,Cardinality,Datatype,Description
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect.contained,contained,,0..*,Resource,"Contained, inline Resources"
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect.extension,extension,,0..*,Extension,Additional Content defined by implementations
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect,ΣTU,,DomainResource,"MedicinalProductUndesirableEffectElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect.subject,subject,Σ,0..*,Reference(MedicinalProduct | Medication),The medication for which this is an indication
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect.symptomConditionEffect,symptomConditionEffect,Σ,0..1,CodeableConcept,"The symptom, condition or undesirable effect"
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect.classification,classification,Σ,0..1,CodeableConcept,Classification of the effect
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect.frequencyOfOccurrence,frequencyOfOccurrence,Σ,0..1,CodeableConcept,The frequency of occurrence of the effect
MedicinalProductUndesirableEffect,MedicinalProductUndesirableEffect.population,population,Σ,0..*,Population,The population group to which this applies
SubstanceNucleicAcid,SubstanceNucleicAcid.id,id,Σ,0..1,id,Logical id of this artifact
SubstanceNucleicAcid,SubstanceNucleicAcid.meta,meta,Σ,0..1,Meta,Metadata about the resource
SubstanceNucleicAcid,SubstanceNucleicAcid.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
SubstanceNucleicAcid,SubstanceNucleicAcid.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
SubstanceNucleicAcid,SubstanceNucleicAcid.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
SubstanceNucleicAcid,SubstanceNucleicAcid.contained,contained,,0..*,Resource,"Contained, inline Resources"
SubstanceNucleicAcid,SubstanceNucleicAcid.extension,extension,,0..*,Extension,Additional Content defined by implementations
SubstanceNucleicAcid,SubstanceNucleicAcid.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
SubstanceNucleicAcid,SubstanceNucleicAcid,SubstanceNucleicAcid,ΣTU,,DomainResource,"Nucleic acids are defined by three distinct elements: the base, sugar and linkage. Individual substance/moiety IDs will be created for each of these elements. The nucleotide sequence will be always entered in the 5’-3’ directionElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
SubstanceNucleicAcid,SubstanceNucleicAcid.sequenceType,sequenceType,Σ,0..1,CodeableConcept,The type of the sequence shall be specified based on a controlled vocabulary
SubstanceNucleicAcid,SubstanceNucleicAcid.numberOfSubunits,numberOfSubunits,Σ,0..1,integer,"The number of linear sequences of nucleotides linked through phosphodiester bonds shall be described. Subunits would be strands of nucleic acids that are tightly associated typically through Watson-Crick base pairing. NOTE: If not specified in the reference source, the assumption is that there is 1 subunit"
SubstanceNucleicAcid,SubstanceNucleicAcid.areaOfHybridisation,areaOfHybridisation,Σ,0..1,string,The area of hybridisation shall be described if applicable for double stranded RNA or DNA. The number associated with the subunit followed by the number associated to the residue shall be specified in increasing order. The underscore “” shall be used as separator as follows: “Subunitnumber Residue”
SubstanceNucleicAcid,SubstanceNucleicAcid.oligoNucleotideType,oligoNucleotideType,Σ,0..1,CodeableConcept,(TBC)
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit,subunit,Σ,0..*,BackboneElement,Subunits are listed in order of decreasing length; sequences of the same length will be ordered by molecular weight; subunits that have identical sequences will be repeated multiple times
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.subunit,subunit,Σ,0..1,integer,Index of linear sequences of nucleic acids in order of decreasing length. Sequences of the same length will be ordered by molecular weight. Subunits that have identical sequences will be repeated and have sequential subscripts
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.sequence,sequence,Σ,0..1,string,"Actual nucleotide sequence notation from 5' to 3' end using standard single letter codes. In addition to the base sequence, sugar and type of phosphate or non-phosphate linkage should also be captured"
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.length,length,Σ,0..1,integer,The length of the sequence shall be captured
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.sequenceAttachment,sequenceAttachment,Σ,0..1,Attachment,(TBC)
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.fivePrime,fivePrime,Σ,0..1,CodeableConcept,"The nucleotide present at the 5’ terminal shall be specified based on a controlled vocabulary. Since the sequence is represented from the 5' to the 3' end, the 5’ prime nucleotide is the letter at the first position in the sequence. A separate representation would be redundant"
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.threePrime,threePrime,Σ,0..1,CodeableConcept,"The nucleotide present at the 3’ terminal shall be specified based on a controlled vocabulary. Since the sequence is represented from the 5' to the 3' end, the 5’ prime nucleotide is the letter at the last position in the sequence. A separate representation would be redundant"
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.linkage,linkage,Σ,0..*,BackboneElement,The linkages between sugar residues will also be captured
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.linkage.connectivity,connectivity,Σ,0..1,string,The entity that links the sugar residues together should also be captured for nearly all naturally occurring nucleic acid the linkage is a phosphate group. For many synthetic oligonucleotides phosphorothioate linkages are often seen. Linkage connectivity is assumed to be 3’-5’. If the linkage is either 3’-3’ or 5’-5’ this should be specified
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.linkage.identifier,identifier,Σ,0..1,Identifier,Each linkage will be registered as a fragment and have an ID
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.linkage.name,name,Σ,0..1,string,Each linkage will be registered as a fragment and have at least one name. A single name shall be assigned to each linkage
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.linkage.residueSite,residueSite,Σ,0..1,string,Residues shall be captured as described in 5.3.6.8.3
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.sugar,sugar,Σ,0..*,BackboneElement,5.3.6.8.1 Sugar ID (Mandatory)
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.sugar.identifier,identifier,Σ,0..1,Identifier,The Substance ID of the sugar or sugar-like component that make up the nucleotide
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.sugar.name,name,Σ,0..1,string,The name of the sugar or sugar-like component that make up the nucleotide
SubstanceNucleicAcid,SubstanceNucleicAcid.subunit.sugar.residueSite,residueSite,Σ,0..1,string,The residues that contain a given sugar will be captured. The order of given residues will be captured in the 5‘-3‘direction consistent with the base sequences listed above
SubstancePolymer,SubstancePolymer.id,id,Σ,0..1,id,Logical id of this artifact
SubstancePolymer,SubstancePolymer.meta,meta,Σ,0..1,Meta,Metadata about the resource
SubstancePolymer,SubstancePolymer.implicitRules,implicitRules,?! Σ,0..1,uri,A set of rules under which this content was created
SubstancePolymer,SubstancePolymer.language,language,,0..1,code,Language of the resource contentLanguage  (Required)
SubstancePolymer,SubstancePolymer.text,text,I,0..1,Narrative,"Text summary of the resource, for human interpretation"
SubstancePolymer,SubstancePolymer.contained,contained,,0..*,Resource,"Contained, inline Resources"
SubstancePolymer,SubstancePolymer.extension,extension,,0..*,Extension,Additional Content defined by implementations
SubstancePolymer,SubstancePolymer.modifierExtension,modifierExtension,?!,0..*,Extension,Extensions that cannot be ignored
SubstancePolymer,SubstancePolymer,SubstancePolymer,ΣTU,,DomainResource,"TodoElements defined in Ancestors: id, meta, implicitRules, language, text, contained, extension, modifierExtension"
SubstancePolymer,SubstancePolymer.class,class,Σ,0..1,CodeableConcept,Todo
SubstancePolymer,SubstancePolymer.geometry,geometry,Σ,0..1,CodeableConcept,Todo
SubstancePolymer,SubstancePolymer.copolymerConnectivity,copolymerConnectivity,Σ,0..*,CodeableConcept,Todo
SubstancePolymer,SubstancePolymer.modification,modification,Σ,0..*,string,Todo
SubstancePolymer,SubstancePolymer.monomerSet,monomerSet,Σ,0..*,BackboneElement,Todo
SubstancePolymer,SubstancePolymer.monomerSet.ratioType,ratioType,Σ,0..1,CodeableConcept,Todo
SubstancePolymer,SubstancePolymer.monomerSet.startingMaterial,startingMaterial,Σ,0..*,BackboneElement,Todo
SubstancePolymer,SubstancePolymer.monomerSet.startingMaterial.material,material,Σ,0..1,CodeableConcept,Todo
SubstancePolymer,SubstancePolymer.monomerSet.startingMaterial.type,type,Σ,0..1,CodeableConcept,Todo
SubstancePolymer,SubstancePolymer.monomerSet.startingMaterial.isDefining,isDefining,Σ,0..1,boolean,Todo
SubstancePolymer,SubstancePolymer.monomerSet.startingMaterial.amount,amount,Σ,0..1,SubstanceAmount,Todo
SubstancePolymer,SubstancePolymer.repeat,repeat,Σ,0..*,BackboneElement,Todo
SubstancePolymer,SubstancePolymer.repeat.numberOfUnits,numberOfUnits,Σ,0..1,integer,Todo
SubstancePolymer,SubstancePolymer.repeat.averageMolecularFormula,averageMolecularFormula,Σ,0..1,string,Todo
SubstancePolymer,SubstancePolymer.repeat.repeatUnitAmountType,repeatUnitAmountType,Σ,0..1,CodeableConcept,Todo
SubstancePolymer,SubstancePolymer.repeat.repeatUnit,repeatUnit,Σ,0..*,BackboneElement,Todo
SubstancePolymer,SubstancePolymer.repeat.repeatUnit.orientationOfPolymerisation,orientationOfPolymerisation,Σ,0..1,CodeableConcept,Todo
SubstancePolymer,SubstancePolymer.repeat.repeatUnit.repeatUnit,repeatUnit,Σ,0..1,string,Todo
SubstancePolymer,SubstancePolymer.repeat.repeatUnit.amount,amount,Σ,0..1,SubstanceAmount,Todo
SubstancePolymer,SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation,degreeOfPolymerisation,Σ,0..*,BackboneElement,Todo
SubstancePolymer,SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.degree,degree,Σ,0..1,CodeableConcept,Todo
SubstancePolymer,SubstancePolymer.repeat.repeatUnit.degreeOfPolymerisation.amount,amount,Σ,0..1,SubstanceAmount,Todo
SubstancePolymer,SubstancePolymer.repeat.repeatUnit.structuralRepresentation,structuralRepresentation,Σ,0..*,BackboneElement,Todo
